"store_id","film_id","count","returning_date","amount","rental_rank","adjust_amount"
1,698,"1","2005-06-18 08:15:27","2.99","1","2.093"
1,848,"1","2005-06-19 06:56:52","1.99","2","1.393"
1,953,"1","2005-06-19 16:50:15","1.99","3","1.393"
1,778,"1","2005-06-19 19:22:18","5.99","4","4.193"
1,704,"2","2005-06-20 02:55:55","2.99","5","2.093"
1,436,"1","2005-06-20 14:26:57","1.99","6","1.592"
1,649,"1","2005-06-20 20:32:39","3.99","7","3.192"
1,481,"1","2005-06-21 00:04:02","4.99","8","3.992"
1,179,"1","2005-06-21 00:59:37","5.99","9","4.792"
1,581,"1","2005-06-21 02:10:51","2.99","10",NULL
1,482,"1","2005-06-21 02:59:39","3.99","11",NULL
1,341,"1","2005-06-21 04:06:27","1.99","12",NULL
1,738,"1","2005-06-21 07:26:18","3.99","13",NULL
1,777,"1","2005-06-21 14:48:56","5.99","14",NULL
1,907,"1","2005-06-21 20:02:30","1.99","15",NULL
1,596,"1","2005-06-21 21:42:37","6.99","16",NULL
1,686,"1","2005-06-21 22:44:01","5.99","17",NULL
1,775,"1","2005-06-21 22:51:50","5.99","18",NULL
1,35,"1","2005-06-22 01:25:57","4.99","19",NULL
1,916,"1","2005-06-22 03:36:37","6.99","20",NULL
1,179,"1","2005-06-22 04:57:07","7.99","21",NULL
1,327,"1","2005-06-22 11:38:30","5.99","22",NULL
1,736,"1","2005-06-22 12:30:54","3.99","23",NULL
1,247,"1","2005-06-22 13:52:30","3.99","24",NULL
1,30,"1","2005-06-22 15:26:24","4.99","25",NULL
1,140,"1","2005-06-22 19:23:05","1.99","26",NULL
1,227,"3","2005-06-22 19:51:45","4.99","27",NULL
1,48,"1","2005-06-22 20:58:17","4.99","28",NULL
1,966,"2","2005-06-22 22:49:58","0.99","29",NULL
1,807,"1","2005-06-22 23:05:30","3.99","30",NULL
1,979,"1","2005-06-23 01:08:08","6.99","31",NULL
1,611,"1","2005-06-23 02:42:12","5.99","32",NULL
1,728,"1","2005-06-23 02:45:55","5.99","33",NULL
1,951,"1","2005-06-23 03:11:40","2.99","34",NULL
1,106,"1","2005-06-23 03:16:12","4.99","35",NULL
1,953,"1","2005-06-23 05:26:16","3.99","36",NULL
1,301,"1","2005-06-23 12:47:29","3.99","37",NULL
1,169,"1","2005-06-23 13:13:13","7.99","38",NULL
1,387,"1","2005-06-23 18:59:35","1.99","39",NULL
1,617,"1","2005-06-23 21:02:16","3.99","40",NULL
1,873,"1","2005-06-23 21:14:43","4.99","41",NULL
1,120,"1","2005-06-23 22:48:50","6.99","42",NULL
1,503,"1","2005-06-23 23:21:22","5.99","43",NULL
1,815,"1","2005-06-23 23:23:26","6.99","44",NULL
1,373,"1","2005-06-24 00:23:13","3.99","45",NULL
1,109,"1","2005-06-24 01:05:16","1.99","46",NULL
1,586,"1","2005-06-24 01:44:07","3.99","47",NULL
1,295,"1","2005-06-24 02:08:26","3.99","48",NULL
1,30,"1","2005-06-24 03:12:07","6.99","49",NULL
1,476,"1","2005-06-24 04:49:23","4.99","50",NULL
1,29,"1","2005-06-24 06:48:22","6.99","51",NULL
1,288,"1","2005-06-24 07:00:02","4.99","52",NULL
1,764,"1","2005-06-24 07:26:56","7.99","53",NULL
1,167,"1","2005-06-24 08:00:52","6.99","54",NULL
1,322,"1","2005-06-24 08:11:44","4.99","55",NULL
1,705,"1","2005-06-24 08:12:03","4.99","56",NULL
1,525,"1","2005-06-24 09:23:57","4.99","57",NULL
1,616,"1","2005-06-24 10:04:29","4.99","58",NULL
1,857,"1","2005-06-24 12:08:01","7.99","59",NULL
1,975,"1","2005-06-24 12:08:10","4.99","60",NULL
1,636,"1","2005-06-24 15:52:25","1.99","61",NULL
1,1000,"1","2005-06-24 16:36:00","8.99","62",NULL
1,749,"1","2005-06-24 23:46:20","7.99","63",NULL
1,56,"1","2005-06-25 00:30:26","3.99","64",NULL
1,551,"1","2005-06-25 01:47:01","5.99","65",NULL
1,308,"1","2005-06-25 02:26:46","9.99","66",NULL
1,768,"1","2005-06-25 03:39:30","9.99","67",NULL
1,984,"1","2005-06-25 07:51:29","6.99","68",NULL
1,39,"1","2005-06-25 07:51:39","4.99","69",NULL
1,448,"1","2005-06-25 08:33:01","5.99","70",NULL
1,61,"1","2005-06-25 08:49:52","8.99","71",NULL
1,900,"1","2005-06-25 09:32:23","4.99","72",NULL
1,842,"2","2005-06-25 09:39:20","4.99","73",NULL
